"","trialNo","target","condition1.x","condition3","mean","sd","N","se","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality"
"100",50,"<b>On your flight,</b><br> <br> you ask the attendant for some peanuts.","ordinary","slow",0.0357142857142857,0.188982236504614,28,0.0357142857142857,"ordinary",1.2962962962963,1.18181818181818,0.608580619450185,0.852802865422442,27,22,0.117121394821051,0.181818181818182
"101",51,"<b>On your flight,</b><br> <br> you start the next chapter of your book.","ordinary","fast",0.107142857142857,0.311152430116883,84,0.0339495134209542,"ordinary",1.25,1.09090909090909,0.645497224367903,0.29424494316825,28,22,0.121987509118567,0.0627332326674867
"102",51,"<b>On your flight,</b><br> <br> you start the next chapter of your book.","ordinary","slow",0,0,35,0,"ordinary",1.25,1.09090909090909,0.645497224367903,0.29424494316825,28,22,0.121987509118567,0.0627332326674867
"103",52,"<b>On your flight,</b><br> <br> you watch a movie you have downloaded.","ordinary","fast",0.104651162790698,0.307898752168415,86,0.0332015763121984,"ordinary",1.55555555555556,1,1.08604197869474,0,27,22,0.209008876250213,0
"104",52,"<b>On your flight,</b><br> <br> you watch a movie you have downloaded.","ordinary","slow",0.0434782608695652,0.206184570942362,46,0.0304002564687,"ordinary",1.55555555555556,1,1.08604197869474,0,27,22,0.209008876250213,0
"105",53,"<b>On your flight,</b><br> <br> you force the plane to go backwards.","impossible","fast",0.842696629213483,0.366149385947072,89,0.0388117572869527,"impossible",4.58333333333333,5,0.996204919895622,0,12,9,0.287579589334883,0
"106",53,"<b>On your flight,</b><br> <br> you force the plane to go backwards.","impossible","slow",0.871794871794872,0.33868842842937,39,0.0542335527595415,"impossible",4.58333333333333,5,0.996204919895622,0,12,9,0.287579589334883,0
"107",54,"<b>On your flight,</b><br> <br> you stop the engine with your thoughts.","impossible","fast",0.869047619047619,0.339374403361411,84,0.0370287831508128,"impossible",4.23076923076923,4.75,1.48064435037847,0.707106781186548,13,8,0.410656855847358,0.25
"108",54,"<b>On your flight,</b><br> <br> you stop the engine with your thoughts.","impossible","slow",1,0,34,0,"impossible",4.23076923076923,4.75,1.48064435037847,0.707106781186548,13,8,0.410656855847358,0.25
"109",55,"<b>On your flight,</b><br> <br> you turn the attendant into a mouse.","impossible","fast",0.730337078651685,0.446299047312761,89,0.0473076044000385,"impossible",4.33333333333333,5,1.11803398874989,0,9,3,0.372677996249965,0
"110",55,"<b>On your flight,</b><br> <br> you turn the attendant into a mouse.","impossible","slow",0.926829268292683,0.263651654881875,41,0.0411754707710589,"impossible",4.33333333333333,5,1.11803398874989,0,9,3,0.372677996249965,0
"111",56,"<b>On your flight,</b><br> <br> you take a dance exercize class.","impossible","fast",0.719101123595506,0.451984614705569,89,0.0479102733383394,"impossible",4,3,1.4142135623731,1.75411603861406,13,14,0.392232270276368,0.468807230938495
