"","trialNo","target","condition1.x","mean_fast","mean_slow","sd_fast","sd_slow","N_fast","N_slow","se_fast","se_slow","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality","FminusS"
"48",48,"<b>In the library,</b><br> <br> you take a book without checking it out.","immoral",0.164556962025316,0.232142857142857,0.373149442354017,0.426020547032073,79,56,0.0419825922829797,0.0569293902400011,"immoral",4.66666666666667,4.5,0.832050294337844,0.912870929175277,27,22,0.160128153805087,0.194624736040381,-0.0675858951175407
"49",49,"<b>On your flight,</b><br> <br> you do a magazine crossword puzzle.","ordinary",0.152173913043478,0.04,0.361157559257308,0.2,92,25,0.0376532784254104,0.04,"ordinary",1.37037037037037,1,1.07946383229924,0,27,22,0.207742911386144,0,0.112173913043478
"50",50,"<b>On your flight,</b><br> <br> you ask the attendant for some peanuts.","ordinary",0.0666666666666667,0.0357142857142857,0.250841281121363,0.188982236504614,90,28,0.0264409926512701,0.0357142857142857,"ordinary",1.2962962962963,1.18181818181818,0.608580619450185,0.852802865422442,27,22,0.117121394821051,0.181818181818182,0.030952380952381
"51",51,"<b>On your flight,</b><br> <br> you start the next chapter of your book.","ordinary",0.107142857142857,0,0.311152430116883,0,84,35,0.0339495134209542,0,"ordinary",1.25,1.09090909090909,0.645497224367903,0.29424494316825,28,22,0.121987509118567,0.0627332326674867,0.107142857142857
"52",52,"<b>On your flight,</b><br> <br> you watch a movie you have downloaded.","ordinary",0.104651162790698,0.0434782608695652,0.307898752168415,0.206184570942362,86,46,0.0332015763121984,0.0304002564687,"ordinary",1.55555555555556,1,1.08604197869474,0,27,22,0.209008876250213,0,0.0611729019211325
"53",53,"<b>On your flight,</b><br> <br> you force the plane to go backwards.","impossible",0.842696629213483,0.871794871794872,0.366149385947072,0.33868842842937,89,39,0.0388117572869527,0.0542335527595415,"impossible",4.58333333333333,5,0.996204919895622,0,12,9,0.287579589334883,0,-0.0290982425813887
"54",54,"<b>On your flight,</b><br> <br> you stop the engine with your thoughts.","impossible",0.869047619047619,1,0.339374403361411,0,84,34,0.0370287831508128,0,"impossible",4.23076923076923,4.75,1.48064435037847,0.707106781186548,13,8,0.410656855847358,0.25,-0.130952380952381
"55",55,"<b>On your flight,</b><br> <br> you turn the attendant into a mouse.","impossible",0.730337078651685,0.926829268292683,0.446299047312761,0.263651654881875,89,41,0.0473076044000385,0.0411754707710589,"impossible",4.33333333333333,5,1.11803398874989,0,9,3,0.372677996249965,0,-0.196492189640998
"56",56,"<b>On your flight,</b><br> <br> you take a dance exercize class.","impossible",0.719101123595506,0.91304347826087,0.451984614705569,0.284884924644768,89,46,0.0479102733383394,0.042003990568665,"impossible",4,3,1.4142135623731,1.75411603861406,13,14,0.392232270276368,0.468807230938495,-0.193942354665364
"57",57,"<b>On your flight,</b><br> <br> you stand on top of your seat and shout.","abnormal",0.311688311688312,0.37037037037037,0.466220533420224,0.487438290097003,77,54,0.0531307607458886,0.0663319495462434,"abnormal",4.88888888888889,4.45454545454545,0.577350269189626,0.800432783369497,27,22,0.111111111111111,0.170652842808892,-0.0586820586820587
