ResponseId,answerOrder,scenario,question,SCEN,SCEN (2nd),consistent,SCEN (final),action,action (2nd),code1,code1 (2nd),code2,code 2 (2nd),code3,code 3 (2nd),ScenarioCode,ScenarioCode (2nd),ConventionalViolation,ConventionalViolation (2nd),consistent (T:3117; F:126),ConventionalViolation
R_1rk9AThXrUoDhId,3,scenario1,pick up a brochure,Y,Y,,Y,ACT,ACT,,,,,,,MAP,MAP,N,N,,N
R_1rk9AThXrUoDhId,4,scenario1,look at the map of exhibits,Y,Y,,Y,ACT,OBS,,,,,,,MAP,MAP,N,N,,N
R_1rk9AThXrUoDhId,5,scenario1,explore the museum,Y,Y,,Y,ACT,ACT,,,,,,,EXPL,EXPL,N,N,,N
R_1rk9AThXrUoDhId,6,scenario1,find the museum cafe,Y,Y,,Y,ACT,ACT,,FOOD,,,,,EXPL,,N,N,,N
R_1rk9AThXrUoDhId,7,scenario1,buy something in the gift shop,Y,Y,,Y,ACT,ACT,,,,,,,GIFT,GIFT,N,N,,N
R_1rk9AThXrUoDhId,8,scenario1,learn about the things in the museum,Y,Y,,Y,MENT,MENT,,,,,,,LEARN,LEARN,N,N,,N
R_21v20zJEEHivjcG,1,scenario1,Look at the exhibits,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_21v20zJEEHivjcG,2,scenario1,Buy a souvenir. ,Y,N,,Y,ACT,ACT,,,,,,,GIFT,,N,N,,N
R_21v20zJEEHivjcG,3,scenario1,Buy a snack,N,N,,N,ACT,ACT,FOOD,FOOD,,,,,,,N,N,,N
R_21v20zJEEHivjcG,4,scenario1,Use the rest room,N,N,,N,ACT,ACT,BATH,BATH,,,,,,,N,N,,N
R_21v20zJEEHivjcG,5,scenario1,Buy a bottle of water,N,N,,N,ACT,ACT,FOOD,,,,,,,,N,N,,N
R_21v20zJEEHivjcG,6,scenario1,Watch a TV show,N,N,,N,OBS,MENT,,,,,,,,,N,Y,,Y
R_21v20zJEEHivjcG,7,scenario1,Sit on the chair,N,N,,N,ACT,ACT,,,,,,,,,N,N,,N
R_21v20zJEEHivjcG,8,scenario1,Read a book.,N,N,,N,OBS,MENT,,,,,,,LOOK,,N,N,,N
R_22Lo9BlToxIk3Hw,1,scenario1,say no,Y,Y,,Y,ACT,ACT,,,,,,,,BPACK,Y,Y,,Y
R_22Lo9BlToxIk3Hw,2,scenario1,explain my medical disability requires my medical bag at all times,Y,Y,,Y,ACT,ACT,,,,,,,BPACK,BPACK,N,N,,N
R_22Lo9BlToxIk3Hw,3,scenario1,suddenly die,N,N,,N,ACT,ACT,,,,,,,,,Y,Y,,Y
R_22Lo9BlToxIk3Hw,4,scenario1,leave the bag and look at art,Y,Y,,Y,ACT,ACT,,COOP,,AUTH,,,BPACK,BPACK,N,N,,N
R_22Lo9BlToxIk3Hw,5,scenario1,leave the museum,Y,Y,,Y,ACT,ACT,,,,,,,,,Y,N,,N
R_22Lo9BlToxIk3Hw,6,scenario1,order coffee in the cafe,N,N,,N,ACT,ACT,,FOOD,,,,,,,N,N,,N
R_22Lo9BlToxIk3Hw,7,scenario1,talk to people,N,N,,N,ACT,ACT,SOC,SOC,,,,,TALK,TALK,N,N,,N
R_22Lo9BlToxIk3Hw,8,scenario1,get a guided tour,Y,Y,,Y,ACT,ACT,,,,,,,,LOOK,N,N,,N
R_24BJGFhufjl9UhI,1,scenario1,find a  map of the museum,Y,Y,,Y,ACT,ACT,,,,,,,MAP,MAP,N,N,,N
R_24BJGFhufjl9UhI,2,scenario1,speak to an employee for recommendations,Y,Y,,Y,ACT,ACT,SOC,SOC,AUTH,,,,TALK,TALK,N,N,,N
R_24BJGFhufjl9UhI,3,scenario1,check out the exhibits,Y,Y,,Y,ACT,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_24BJGFhufjl9UhI,4,scenario1,look around the gift shop,Y,Y,,Y,ACT,OBS,,,,,,,GIFT,GIFT,N,N,,N
R_24BJGFhufjl9UhI,5,scenario1,use the restroom,N,N,,N,ACT,ACT,BATH,BATH,,,,,,,N,N,,N
R_24BJGFhufjl9UhI,6,scenario1,chat with other patrons,N,N,,N,ACT,ACT,SOC,SOC,,,,,,TALK,N,N,,N
